id	created_at	title	status	local_presence	fixture_gate	delete_result
cas-177d	2026-06-07T18:21:11.949063971Z	Context test task	open	absent	pass	deleted
cas-9890	2026-06-07T18:21:11.996764500Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-2c40	2026-06-07T18:21:12.001441714Z	Consolidated task test	open	absent	pass	deleted
cas-f6ca	2026-06-07T18:22:03.888572326Z	Consolidated task test	open	absent	pass	deleted
cas-e1b8	2026-06-07T18:22:03.933366771Z	Context test task	open	absent	pass	deleted
cas-90d0	2026-06-07T18:22:03.954935618Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-ec1f	2026-06-07T18:22:04.526010676Z	Test task for notification test	open	absent	pass	deleted
cas-d15b	2026-06-07T18:22:51.931355054Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-4329	2026-06-07T18:22:52.004844229Z	Context test task	open	absent	pass	deleted
cas-564f	2026-06-07T18:22:52.052408394Z	Test task for notification test	open	absent	pass	deleted
cas-b047	2026-06-07T18:29:02.331309623Z	Consolidated task test	open	absent	pass	deleted
cas-944c	2026-06-07T18:29:02.425035079Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-b708	2026-06-07T18:29:02.455566357Z	Context test task	open	absent	pass	deleted
cas-d266	2026-06-07T18:29:02.462286459Z	Test task for notification test	open	absent	pass	deleted
